88.5, 0.1477, -0.0233087, -0.117776, -11909.5, -0.144189, -11909.6, 11909.6, 
90, 0.147652, -0.023301, -0.117735, -12111.6, -0.144402, -12111.6, 12111.6, 
91.5, 0.147594, -0.0232925, -0.117686, -12313.6, -0.144662, -12313.7, 12313.7, 
93, 0.147525, -0.023283, -0.117627, -12515.7, -0.144976, -12515.7, 12515.7, 
94.5, 0.147445, -0.0232725, -0.117557, -12717.8, -0.14535, -12717.8, 12717.8, 
96, 0.14735, -0.0232607, -0.117474, -12919.8, -0.14579, -12919.9, 12919.9, 
97.5, 0.147241, -0.0232476, -0.117378, -13121.9, -0.146301, -13121.9, 13121.9, 
99, 0.147117, -0.0232331, -0.117268, -13323.9, -0.14689, -13324, 13324, 
100.5, 0.146975, -0.0232171, -0.117143, -13526, -0.147562, -13526, 13526, 
102, 0.146815, -0.0231993, -0.117, -13728, -0.148323, -13728.1, 13728.1, 
103.5, 0.146635, -0.0231798, -0.11684, -13930.1, -0.14918, -13930.1, 13930.1, 
105, 0.146435, -0.0231584, -0.116661, -14132.1, -0.150138, -14132.2, 14132.2, 
106.5, 0.146213, -0.023135, -0.116462, -14334.2, -0.151203, -14334.2, 14334.2, 
108, 0.14599, -0.0231113, -0.116264, -14536.2, -0.152266, -14536.3, 14536.3, 
109.5, 0.145892, -0.0230981, -0.116179, -14738.3, -0.152715, -14738.3, 14738.3, 
111, 0.145799, -0.0230854, -0.116099, -14940.3, -0.153142, -14940.4, 14940.4, 
112.5, 0.145711, -0.0230733, -0.116023, -15142.4, -0.153547, -15142.5, 15142.5, 
114, 0.145627, -0.0230617, -0.11595, -15344.5, -0.153931, -15344.5, 15344.5, 
115.5, 0.145548, -0.0230507, -0.115882, -15546.5, -0.154294, -15546.6, 15546.6, 
117, 0.145473, -0.0230402, -0.115817, -15748.6, -0.154637, -15748.6, 15748.6, 
118.5, 0.145402, -0.0230302, -0.115756, -15950.6, -0.154961, -15950.7, 15950.7, 
120, 0.145335, -0.0230207, -0.115699, -16152.7, -0.155266, -16152.8, 16152.8, 
121.5, 0.145272, -0.0230116, -0.115645, -16354.8, -0.155552, -16354.8, 16354.8, 
123, 0.145213, -0.0230031, -0.115594, -16556.8, -0.155821, -16556.9, 16556.9, 
124.5, 0.145157, -0.022995, -0.115547, -16758.9, -0.156073, -16758.9, 16758.9, 
126, 0.145105, -0.0229873, -0.115502, -16960.9, -0.156309, -16961, 16961, 
127.5, 0.145056, -0.02298, -0.115461, -17163, -0.156529, -17163.1, 17163.1, 
129, 0.145011, -0.0229732, -0.115422, -17365.1, -0.156733, -17365.1, 17365.1, 
130.5, 0.144968, -0.0229667, -0.115386, -17567.1, -0.156923, -17567.2, 17567.2, 
132, 0.144929, -0.0229606, -0.115353, -17769.2, -0.157099, -17769.2, 17769.2, 
133.5, 0.144892, -0.0229548, -0.115322, -17971.2, -0.157261, -17971.3, 17971.3, 
135, 0.144859, -0.0229494, -0.115294, -18173.3, -0.157411, -18173.4, 18173.4, 
136.5, 0.144828, -0.0229443, -0.115268, -18375.4, -0.157548, -18375.4, 18375.4, 
138, 0.144799, -0.0229396, -0.115244, -18577.4, -0.157673, -18577.5, 18577.5, 
139.5, 0.144773, -0.0229351, -0.115222, -18779.5, -0.157788, -18779.6, 18779.6, 
141, 0.144749, -0.0229309, -0.115203, -18981.6, -0.157892, -18981.6, 18981.6, 
142.5, 0.144727, -0.022927, -0.115185, -19183.6, -0.157986, -19183.7, 19183.7, 
144, 0.144707, -0.0229233, -0.115169, -19385.7, -0.158071, -19385.7, 19385.7, 
145.5, 0.144689, -0.0229199, -0.115154, -19587.7, -0.158147, -19587.8, 19587.8, 
147, 0.144673, -0.0229166, -0.115141, -19789.8, -0.158215, -19789.9, 19789.9, 
148.5, 0.144658, -0.0229136, -0.115129, -19991.9, -0.158276, -19991.9, 19991.9, 
150, 0.144645, -0.0229108, -0.115119, -20193.9, -0.158329, -20194, 20194, 
151.5, 0.144633, -0.0229081, -0.11511, -20396, -0.158377, -20396.1, 20396.1, 
153, 0.144623, -0.0229057, -0.115102, -20598.1, -0.158419, -20598.1, 20598.1, 
154.5, 0.144613, -0.0229033, -0.115095, -20800.1, -0.158455, -20800.2, 20800.2, 
156, 0.144605, -0.0229011, -0.115088, -21002.2, -0.158488, -21002.2, 21002.2, 
157.5, 0.144597, -0.022899, -0.115083, -21204.2, -0.158516, -21204.3, 21204.3, 
159, 0.14459, -0.022897, -0.115078, -21406.3, -0.158541, -21406.4, 21406.4, 
160.5, 0.144584, -0.0228951, -0.115073, -21608.4, -0.158563, -21608.4, 21608.4, 
162, 0.144578, -0.0228932, -0.115069, -21810.4, -0.158583, -21810.5, 21810.5, 
163.5, 0.144572, -0.0228914, -0.115066, -22012.5, -0.158602, -22012.6, 22012.6, 
165, 0.144567, -0.0228897, -0.115062, -22214.6, -0.158619, -22214.6, 22214.6, 
166.5, 0.144562, -0.0228879, -0.115059, -22416.6, -0.158637, -22416.7, 22416.7, 
168, 0.144557, -0.0228862, -0.115055, -22618.7, -0.158654, -22618.8, 22618.8, 
169.5, 0.144551, -0.0228845, -0.115051, -22820.8, -0.158673, -22820.8, 22820.8, 
171, 0.144546, -0.0228827, -0.115047, -23022.8, -0.158693, -23022.9, 23022.9, 
172.5, 0.144539, -0.0228809, -0.115043, -23224.9, -0.158715, -23224.9, 23224.9, 
174, 0.144533, -0.0228791, -0.115038, -23426.9, -0.15874, -23427, 23427, 
175.5, 0.144525, -0.0228772, -0.115033, -23629, -0.158768, -23629.1, 23629.1, 
177, 0.144517, -0.0228752, -0.115027, -23831.1, -0.1588, -23831.1, 23831.1, 
178.5, 0.144508, -0.0228731, -0.11502, -24033.1, -0.158836, -24033.2, 24033.2, 
180, 0.144498, -0.0228709, -0.115012, -24235.2, -0.158877, -24235.3, 24235.3, 
181.5, 0.144486, -0.0228686, -0.115003, -24437.3, -0.158924, -24437.3, 24437.3, 
183, 0.144474, -0.0228661, -0.114992, -24639.3, -0.158978, -24639.4, 24639.4, 
184.5, 0.14446, -0.0228635, -0.114981, -24841.4, -0.159038, -24841.4, 24841.4, 
186, 0.144444, -0.0228606, -0.114968, -25043.4, -0.159105, -25043.5, 25043.5, 
187.5, 0.144427, -0.0228577, -0.114954, -25245.5, -0.159181, -25245.6, 25245.6, 
189, 0.144408, -0.0228545, -0.114938, -25447.6, -0.159265, -25447.6, 25447.6, 
190.5, 0.144386, -0.022851, -0.11492, -25649.6, -0.159359, -25649.7, 25649.7, 
192, 0.144363, -0.0228474, -0.114901, -25851.7, -0.159462, -25851.8, 25851.8, 
193.5, 0.144338, -0.0228435, -0.114879, -26053.8, -0.159575, -26053.8, 26053.8, 
195, 0.14431, -0.0228393, -0.114855, -26255.8, -0.1597, -26255.9, 26255.9, 
196.5, 0.14428, -0.0228349, -0.11483, -26457.9, -0.159837, -26457.9, 26457.9, 
198, 0.144247, -0.0228302, -0.114802, -26659.9, -0.159985, -26660, 26660, 
199.5, 0.144212, -0.0228251, -0.114771, -26862, -0.160146, -26862.1, 26862.1, 
201, 0.144174, -0.0228198, -0.114738, -27064.1, -0.160321, -27064.1, 27064.1, 
202.5, 0.144132, -0.0228141, -0.114703, -27266.1, -0.16051, -27266.2, 27266.2, 
204, 0.144088, -0.022808, -0.114665, -27468.2, -0.160713, -27468.3, 27468.3, 
205.5, 0.14404, -0.0228016, -0.114623, -27670.2, -0.160932, -27670.3, 27670.3, 
